STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
AK,1970,1.01,5.36,0.43,0.75,0.78,12.465116279069768,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1971,0.89,5.4,0.63,0.87,0.9,8.571428571428571,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1972,0.94,5.71,0.68,1.36,1.16,8.397058823529411,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1973,1.1,6.2,0.72,1.02,1.04,8.611111111111112,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1974,1.18,6.47,0.75,2.39,1.61,8.626666666666667,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1975,1.57,6.79,0.81,2.65,1.83,8.382716049382715,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1976,1.46,10.37,0.86,2.79,2.04,12.05813953488372,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1977,1.54,10.14,1.01,3.11,2.01,10.03960396039604,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1978,0.0,10.1,0.96,3.47,1.89,10.520833333333334,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1979,0.0,10.18,1.05,4.9,1.81,9.695238095238095,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1980,0.0,10.32,0.39,5.96,1.91,26.46153846153846,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1981,0.0,18.76,0.36,6.69,2.88,52.111111111111114,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1982,0.0,20.27,0.58,6.04,3.01,34.94827586206897,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1983,0.0,18.79,0.67,6.26,2.53,28.044776119402982,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1984,0.0,20.21,0.66,6.07,1.91,30.62121212121212,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1985,0.0,19.13,0.71,5.59,2.54,26.943661971830984,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1986,0.0,18.53,0.8,3.22,2.2,23.1625,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1987,0.0,22.97,0.73,4.53,2.11,31.465753424657535,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1988,0.0,21.63,1.07,4.92,2.58,20.214953271028037,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1989,0.0,22.8,1.08,5.67,2.74,21.11111111111111,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1990,0.0,23.17,1.28,6.25,2.63,18.1015625,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1991,0.0,24.08,1.18,5.53,2.55,20.406779661016948,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1992,0.0,22.7,1.18,5.38,2.5,19.23728813559322,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1993,2.97,24.01,1.3,5.94,2.8,18.46923076923077,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1994,2.1,24.52,1.42,5.68,3.09,17.267605633802816,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1995,0.0,24.56,1.44,5.28,3.18,17.055555555555554,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1996,2.05,24.81,1.43,6.08,3.46,17.34965034965035,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1997,2.18,21.93,1.54,6.32,3.72,14.24025974025974,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1998,2.06,21.0,1.34,4.4,3.08,15.671641791044776,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,1999,2.13,21.44,1.25,6.22,3.67,17.152,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2000,1.88,22.17,1.47,7.52,4.37,15.081632653061225,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2001,1.95,22.31,1.64,7.23,5.16,13.603658536585366,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2002,1.95,22.42,1.62,6.98,5.1,13.839506172839506,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2003,1.95,23.04,1.51,8.79,9.52,15.258278145695364,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2004,1.99,24.42,1.93,10.6,8.19,12.652849740932643,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2005,1.99,27.24,2.58,14.56,9.66,10.55813953488372,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2006,2.11,33.82,3.82,17.09,20.59,8.853403141361257,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2007,2.3,37.02,0.0,16.93,21.02,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2008,2.38,41.54,0.0,23.98,27.55,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2009,2.72,38.53,0.0,16.28,18.99,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2010,2.87,41.46,0.0,19.71,22.42,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2011,3.65,46.04,0.0,25.19,27.31,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2012,3.95,49.3,0.0,25.31,27.67,inf,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2013,4.72,46.4,8.15,25.28,26.67,5.693251533742331,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2014,4.85,45.91,7.96,25.81,27.24,5.767587939698492,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2015,4.98,42.57,6.85,20.36,22.07,6.214598540145985,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2016,5.22,44.6,5.05,15.64,18.73,8.831683168316832,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2017,5.41,47.89,4.69,15.66,20.16,10.211087420042643,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2018,5.49,50.13,5.97,20.83,24.41,8.396984924623116,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2019,5.56,49.66,5.95,17.39,20.89,8.346218487394957,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2020,5.65,46.56,4.91,14.6,17.98,9.482688391038696,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2021,5.74,49.39,5.3,17.73,16.26,9.318867924528302,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2022,5.88,54.02,6.84,26.96,15.95,7.897660818713451,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2023,5.96,54.81,6.54,24.88,14.74,8.380733944954128,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AK,2024,6.28,56.6,6.33,22.87,,8.941548183254344,2024,6.28,56.6,6.33,22.87,,8.941548183254344
AL,1970,0.4,2.24,0.32,0.92,0.64,7.000000000000001,2024,5.85,21.26,4.02,21.38,,5.288557213930349
AL,1971,0.45,2.53,0.38,0.99,0.73,6.657894736842104,2024,5.85,21.26,4.02,21.38,,5.288557213930349
AL,1972,0.49,2.67,0.41,1.01,0.8,6.51219512195122,2024,5.85,21.26,4.02,21.38,,5.288557213930349
AL,1973,0.59,2.99,0.46,1.04,0.94,6.5,2024,5.85,21.26,4.02,21.38,,5.288557213930349
