ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.1233,2.1,0.6593773165307635,2698,571.0,2713.5,570.5,3284.723838110961,2579.774,3578.7700000000004,Unknown,natural_gas,steam_or_thermal
2.1311,2.1,0.2555768005098789,1569,0.0,5715.0,309.09308000000004,7500.0,5332.1991501600005,9338.74052548,Unknown,electricity,electricity
2.1213,2.1,0.25210084033613445,357,362.0,1628.0,361.402452,2095.479252433556,1627.1999999999998,2460.26,Unknown,natural_gas,steam_or_thermal
2.1224,2.1,0.3096774193548387,310,2187.5,16935.3,2327.5,17957.37990170712,16629.825,18042.379999999997,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1131,2.1,0.4489051094890511,274,183.050784,1077.0,183.050784,1226.70904117971,954.89297902,1317.02,Unknown,natural_gas,steam_or_thermal
2.1123,2.1,0.35661764705882354,272,215.5,1045.5,215.5,1130.5,912.1200000000001,1330.6299999999999,Unknown,natural_gas,steam_or_thermal
2.1321,2.1,0.22540983606557377,244,768.2332544000001,14431.5,1018.0,14431.5,13172.859999999999,14287.8194,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1221,2.1,0.2605042016806723,238,1767.0,10179.5,1767.0,12016.5,10704.505000000001,12320.545,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1133,2.1,0.6,235,1066.0,6485.0,1066.0,7267.0,6756.75,6232.27,Unknown,natural_gas,steam_or_thermal
2.1113,2.1,0.4460093896713615,213,1900.0,10491.0,1781.0,13400.0,10948.318800000001,11007.4,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1243,2.1,0.305,200,1245.5,7052.5,1227.0,7947.5,6028.41,7311.01,Unknown,natural_gas,steam_or_thermal
2.1222,2.1,0.3050847457627119,177,502.0,2117.0,502.0,2447.0,2286.31,3020.16,Unknown,natural_gas,steam_or_thermal
2.1116,2.1,0.34523809523809523,168,1830.5307579999999,12427.5,1830.5307579999999,13030.983623882854,14381.82,15009.0202288,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1121,2.1,0.3625,160,300.5,2693.225,300.5,2810.5,2402.229574593,2528.1490000000003,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1135,2.1,0.6016260162601627,123,619.707912,3833.0,619.707912,4516.0,4162.400000000001,4136.0,Unknown,natural_gas,steam_or_thermal
2.1232,2.1,0.6486486486486487,111,640.0,3649.0,640.0,4058.0,4168.0,5458.96,Unknown,natural_gas,steam_or_thermal
2.1331,2.1,0.3394495412844037,109,0.0,26417.84,3902.0,29682.17803715908,30778.306977599997,47223.0,Unknown,natural_gas,steam_or_thermal
2.1231,2.1,0.7021276595744681,94,866.5,4543.5,866.5,5303.782906037524,4977.280000000001,6613.3099999999995,Unknown,natural_gas,steam_or_thermal
2.1241,2.1,0.37349397590361444,83,705.0,4657.0,605.0,5024.0,4464.24,4253.9,Food/Beverage/Tobacco,natural_gas,steam_or_thermal
2.1212,2.1,0.4024390243902439,82,1661.5,8811.5,1661.5,11226.470785941809,9003.01,10118.09,Unknown,natural_gas,steam_or_thermal
2.1332,2.1,0.2857142857142857,77,0.0,8130.0,1213.0,10006.821892040622,9319.84,27420.729072000002,Unknown,petroleum,steam_or_thermal
2.1223,2.1,0.2894736842105263,76,2048.0003699999997,17062.0,2338.8,18434.5,19975.515494080002,23044.059999999998,Unknown,natural_gas,steam_or_thermal
2.1122,2.1,0.2916666666666667,72,952.25,4622.5,952.25,5237.142671174203,3903.9750627800004,5107.8211626,Unknown,natural_gas,steam_or_thermal
2.1336,2.1,0.3,60,4122.5,100562.0,7006.21126,100562.0,72471.68417759199,90687.48999999999,Utilities,natural_gas,steam_or_thermal
2.1242,2.1,0.5625,32,222.5,1712.0,222.5,2075.6679944336506,1030.48261272,1711.76,Unknown,natural_gas,steam_or_thermal
2.1114,2.1,0.4782608695652174,23,978.0,7370.0,978.0,8107.0,7896.7,7520.5199999999995,Unknown,natural_gas,steam_or_thermal
2.1211,2.1,0.36363636363636365,22,156.0,5061.0,603.0,5061.0,4276.16378504,6598.5650000000005,Unknown,natural_gas,steam_or_thermal
2.1111,2.1,0.35294117647058826,17,1754.0,11010.0,1754.0,11010.0,10047.07,9550.4,Unknown,natural_gas,steam_or_thermal
2.1117,2.1,0.0,17,432.0,10888.0,582.5,11196.0,7354.88,7102.26780956,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1392,2.1,0.1875,16,2453.5,13385.0,1765.0,14607.234178129642,15907.144544,14941.526656,Food/Beverage/Tobacco,natural_gas,steam_or_thermal
2.1134,2.1,0.8,15,81.91870800000001,765.0,81.91870800000001,765.0,635.25,1094.94,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.1333,2.1,0.3333333333333333,15,0.0,27915.0,19764.0,36008.0,84234.59999999999,104184.90000000001,Unknown,natural_gas,steam_or_thermal
2.1132,2.1,0.18181818181818182,11,229.503272,2440.0,229.503272,2461.0,1505.40108184,2466.2024712,Educational Services,natural_gas,steam_or_thermal
2.1125,2.1,0.0,10,65236.5,306630.5,65236.5,315485.05951758305,421022.64,435879.17,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2511,2.2,0.451039962608086,4279,209.94036,1814.0,209.94036,2200.0,1733.659377728,2329.621476,Unknown,natural_gas,steam_or_thermal
2.2437,2.2,0.2878535773710483,3606,499.2,3405.0,501.0,4069.86550138457,3011.12798706,3702.2,Unknown,natural_gas,steam_or_thermal
2.2414,2.2,0.18776595744680852,1880,1684.4,9163.5,1682.4,10627.0,9379.919999999998,10727.275000000001,Unknown,natural_gas,steam_or_thermal
2.2136,2.2,0.576072821846554,1538,289.5,1588.0,285.5,1919.943293337179,1550.44,1989.998,Unknown,natural_gas,steam_or_thermal
